"","SchoolName","City","State","District","Award","Model"
"796","MONTICELLO MIDDLE SCHOOL","LONGVIEW","WA","LONGVIEW SCHOOL DISTRICT",393,"Transformation"
"797","STANTON ALTERNATIVE SCHOOL","YAKIMA","WA","YAKIMA SCHOOL DISTRICT",627,"Transformation"
"798","ANGELO GIAUDRONE MIDDLE SCHOOL","TACOMA","WA","TACOMA SCHOOL DISTRICT",100,"Turnaround"
"799","HUNT","TACOMA","WA","TACOMA SCHOOL DISTRICT",634,"Closure"
"800","CLEVELAND HIGH SCHOOL","SEATTLE","WA","SEATTLE PUBLIC SCHOOLS",544,"Transformation"
"801","CHINOOK MIDDLE SCHOOL","SEATAC","WA","HIGHLINE SCHOOL DISTRICT",526,"Transformation"
"802","WASHINGTON MIDDLE SCHOOL","YAKIMA","WA","YAKIMA SCHOOL DISTRICT",43,"Transformation"
"803","FOSTER & WILLIAMS HIGH SCHOOL OF THE VISUAL ARTS","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",379,"Closure"
"804","DUBOIS HIGH","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",379,"Closure"
"805","CUSTER HIGH","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",476,"Restart"
"806","JAMES MADISON ACADEMIC CAMPUS","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",542,"Transformation"
"807","VINCENT HIGH","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",622,"Transformation"
"808","BAY VIEW HIGH","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",90,"Transformation"
"809","DOWNTOWN INSTITUTE OF ARTS & LETTERS (DIAL)","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",379,"Closure"
"810","SOUTH DIVISION HIGH","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",73,"Transformation"
"811","MILWAUKEE AFRICAN AMERICAN IMMERSION HIGH","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",425,"Restart"
"812","WHS LAW EDUCATION & PUBLIC SERVICE","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",379,"Closure"
"813","BRADLEY TECHNOLOGY HIGH","MILWAUKEE","WI","MILWAUKEE SCHOOL DISTRICT",60,"Transformation"
"814","HAMLIN PK-8","HAMLIN","WV","LINCOLN COUNTY SCHOOLS",248,"Transformation"
"815","RIVERSIDE HIGH SCHOOL","BELLE","WV","KANAWHA COUNTY SCHOOLS",372,"Transformation"
"816","DODDRIDGE COUNTY ELEMENTARY SCHOOL","WEST UNION","WV","DODDRIDGE COUNTY SCHOOLS",361,"Transformation"
"817","MOUNT VIEW HIGH SCHOOL","WELCH","WV","MCDOWELL COUNTY SCHOOLS",356,"Transformation"
"818","WEST HAMLIN ELEMENTARY","WEST HAMLIN","WV","LINCOLN COUNTY SCHOOLS",126,"Transformation"
"819","MALDEN ELEMENTARY SCHOOL","CHARLESTON","WV","KANAWHA COUNTY SCHOOLS",231,"Transformation"
"820","MARTINSBURG NORTH MIDDLE SCHOOL","MARTINSBURG","WV","BERKELEY COUNTY SCHOOLS",360,"Transformation"
"821","SANDY RIVER MIDDLE SCHOOL","AVONDALE","WV","MCDOWELL COUNTY SCHOOLS",301,"Transformation"
"822","STONEWALL JACKSON MIDDLE SCHOOL","CHARLESTON","WV","KANAWHA COUNTY SCHOOLS",235,"Transformation"
"823","EAST BANK MIDDLE SCHOOL","EAST BANK","WV","KANAWHA COUNTY SCHOOLS",273,"Transformation"
"824","FRANKLIN ELEMENTARY CENTER","PARKERSBURG","WV","WOOD COUNTY SCHOOLS",313,"Transformation"
"825","GUYAN VALLEY MIDDLE","BRANCHLAND","WV","LINCOLN COUNTY SCHOOLS",286,"Transformation"
"826","CEDAR GROVE MIDDLE SCHOOL","CEDAR GROVE","WV","KANAWHA COUNTY SCHOOLS",229,"Transformation"
"827","MOUNT HOPE HIGH SCHOOL","MOUNT HOPE","WV","FAYETTE COUNTY SCHOOLS",287,"Transformation"
"828","GEARY ELEMENTARY SCHOOL","LEFT HAND","WV","ROANE COUNTY SCHOOLS",250,"Transformation"
"829","TRIUMPH HIGH SCHOOL","CHEYENNE","WY","LARAMIE COUNTY SCHOOL DISTRICT #1",266,"Transformation"
"830","HEM JUNIOR/SENIOR HIGH SCHOOL","HANNA","WY","CARBON COUNTY SCHOOL DISTRICT #2",257,"Transformation"
"831","ROOSEVELT HIGH SCHOOL","CASPER","WY","NATRONA COUNTY SCHOOL DISTRICT #1",342,"Transformation"
